id,Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Number of schools nearby,Distance from the airport,Price
6762810635,42491,4,2.5,2920,4000,1.5,0,0,5,8,1910,1010,1909,2,51,1400000
6762810998,42491,5,2.75,2910,9480,1.5,0,0,3,8,2910,0,1939,1,53,1200000
6762812605,42491,4,2.5,3310,42998,2,0,0,3,9,3310,0,2001,3,76,838000
6762812919,42491,3,2,2710,4500,1.5,0,0,4,8,1880,830,1929,1,51,805000
6762813105,42491,3,2.5,2600,4750,1,0,0,4,9,1700,900,1951,1,67,790000
6762813157,42491,5,3.25,3660,11995,2,0,2,3,10,3660,0,2006,3,72,785000
6762813599,42491,3,1.75,2240,10578,2,0,0,5,8,1550,690,1923,3,71,750000
6762813600,42491,3,2.5,2390,6550,1,0,2,4,8,1440,950,1955,1,73,750000
6762814461,42491,4,2.25,2200,11250,1.5,0,0,5,7,1300,900,1920,2,53,698000
6762814787,42491,5,2.5,2820,67518,2,0,0,3,8,2820,0,1979,2,51,675000
6762815225,42491,4,2,1820,5000,1.5,0,1,3,7,1640,180,1945,2,69,650000
6762815461,42491,4,2,1520,6200,1.5,0,0,3,7,1520,0,1945,3,80,640000
6762815654,42491,4,2.75,2710,37277,2,0,0,3,9,2710,0,2000,1,74,630000
6762815737,42491,3,2.25,1750,1572,2.5,0,0,3,9,1470,280,2005,3,51,626000
6762815748,42491,4,2.5,2820,8408,2,0,0,3,9,2820,0,2014,3,55,625000
6762815749,42491,4,3.25,2730,54014,1,0,0,3,9,1560,1170,2007,1,70,625000
6762815986,42491,3,1.75,2360,7291,1,0,0,4,8,1360,1000,1948,2,75,615000
6762816059,42491,4,2.5,2730,12261,2,0,0,3,9,2730,0,1991,2,70,612500
6762816236,42491,3,2.5,3240,33151,2,0,2,3,10,3240,0,1995,1,71,604000
6762816633,42491,3,1.75,2330,14892,1,0,0,3,8,1970,360,1980,1,60,588500
6762817449,42491,4,2.5,3310,6500,2,0,0,3,8,3310,0,2012,2,80,555000
6762817570,42491,4,2.5,1940,10500,1,0,0,4,7,1140,800,1976,1,58,550000
6762817571,42491,3,1.75,2910,35200,1.5,0,0,3,8,2910,0,1979,3,50,550000
6762819227,42491,4,2.5,2860,3345,2,0,0,3,8,2190,670,2004,3,73,499950
6762819342,42491,4,1.75,1600,6380,1,0,0,3,8,1130,470,1959,3,50,495000
6762819448,42491,4,1.75,2190,125452,1,0,2,3,9,2190,0,1968,3,64,491500
6762819463,42491,2,1,880,6380,1,0,0,3,7,880,0,1938,3,66,490000
6762819732,42491,4,2.5,2710,35868,2,0,0,3,9,2710,0,1989,3,71,482000
6762820114,42491,5,2.5,2210,9655,1,0,0,3,8,1460,750,1976,3,79,470000
6762820382,42491,3,1.75,1710,7320,1,0,0,3,7,1710,0,1948,1,72,463000
6762820510,42491,3,2.5,2680,5539,2,0,0,3,8,2680,0,2013,2,74,459990
6762820718,42491,3,2.5,2430,88426,1,0,0,4,7,1570,860,1985,3,78,452500
6762821047,42491,3,2.5,1270,1180,3,0,0,3,8,1270,0,2001,3,61,445700
6762821205,42491,4,2.25,2160,8119,1,0,0,3,8,1080,1080,1966,2,52,440000
6762821206,42491,2,1,800,4850,1,0,0,4,7,800,0,1944,2,60,440000
6762821318,42491,3,2.5,1770,2875,2,0,0,3,8,1770,0,1990,3,68,439950
6762821390,42491,3,2.25,1970,35100,2,0,0,4,9,1970,0,1977,2,70,437500
6762821424,42491,3,2.5,1770,1235,3,0,0,3,8,1600,170,2007,3,52,436110
6762821444,42491,4,1,1450,8800,1,0,0,4,7,1450,0,1954,2,62,435000
6762821632,42491,4,1.5,1920,10000,1,0,0,4,7,1070,850,1954,2,64,430000
6762822054,42491,3,2.25,2000,8030,1,0,0,4,8,1000,1000,1963,1,61,420000
6762822175,42491,3,1.5,1570,6700,1,0,0,4,7,1570,0,1956,3,78,419000
6762822578,42491,3,2.5,1930,10460,2,0,0,3,8,1930,0,1996,1,63,407500
6762822721,42491,3,2,1960,13100,1,0,2,5,8,1650,310,1957,3,72,403000
6762822791,42491,4,2.5,3630,42884,1.5,0,0,3,9,2300,1330,1979,1,80,400000
6762823455,42491,3,3.25,1320,1327,2,0,0,3,8,1040,280,2008,2,51,385000
6762823582,42491,4,1.75,1560,8700,1,0,0,4,7,1560,0,1967,3,74,382500
6762824201,42491,4,3,3110,7231,2,0,0,3,8,3110,0,1997,3,66,367500
6762824245,42491,3,1,1090,6435,1,0,0,4,7,1090,0,1955,3,80,365000
6762825272,42491,3,2,1930,11947,1,0,0,4,8,1930,0,1966,2,66,342000
6762825549,42491,2,2,1350,2560,1,0,0,3,8,1350,0,1976,1,77,335000
6762825550,42491,3,2.25,1580,16215,1,0,0,4,7,1580,0,1978,3,56,335000
6762826461,42491,3,1,1160,9180,1,0,0,3,7,1160,0,1968,1,52,315000
6762826606,42491,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,3,65,313000
6762826811,42491,2,1,850,6174,1,0,0,4,7,850,0,1950,1,60,308500
6762827056,42491,3,2.5,2540,5050,2,0,0,3,7,2540,0,2006,2,64,300000
6762827347,42491,2,2.5,1630,1368,2,0,0,3,7,1280,350,2009,1,74,295000
6762827693,42491,3,3,1850,19966,1,0,0,4,7,1090,760,1992,2,58,287200
6762827749,42491,4,2.5,2200,9397,2,0,0,3,8,2200,0,1987,3,80,285000
6762827750,42491,3,2.5,2090,10834,1,0,0,4,8,1360,730,1987,2,56,285000
6762827836,42491,3,1.75,1800,23103,1,0,0,3,7,1800,0,1968,3,62,284000
6762828162,42491,3,1.5,1180,10277,1,0,0,3,6,1180,0,1983,3,78,275000
6762828790,42491,4,2,1480,8625,1,0,0,4,7,1480,0,1974,1,60,260000
6762828945,42491,3,1.75,1370,5858,1,0,0,3,7,1370,0,1987,3,56,257950
6762829578,42491,3,1.5,1200,9720,1,0,0,4,7,1200,0,1965,3,77,242500
6762829789,42491,2,1,1210,9400,1,0,0,2,6,1210,0,1949,3,73,235000
6762815750,42492,4,2.75,2920,6605,2,0,0,3,8,2920,0,2012,1,62,625000
6762817521,42492,2,1,900,5000,1,0,0,3,7,900,0,1944,1,68,553000
6762823736,42492,3,2.5,1650,14054,1,0,0,4,7,1130,520,1986,2,57,379880
6762826674,42492,3,1,1010,9945,1,0,0,4,6,1010,0,1973,3,60,310000
